Week_Start_Date,Ratio,Gas_Price,TNP_Trips,Transit_Ridership,Bus_Rides,Rail_Boardings,Time,Quarter,Cases,Lockdown,Population,Unemployment_Rate,No_Vehicle_Pct,Weekly_Inc,ln_Ratio,ln_TNP_Trips,ln_Transit_Ridership,ln_Bus_Rides,ln_Rail_Boardings,February,March,April,May,June,July,August,September,October,November,December,Spring,Summer,Fall,Year_2019,Year_2020,Year_2021,Month,Season,Year
2019-01-14,6.032838629021278,2.152,242367,1462161.0,756590.0,705571.0,10.0,1,0.0,0,9485403,5.1,27.8,1259.5647360025,1.7972176510520375,12.398208385295733,14.19542603634777,13.536576774070195,13.466762683056857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2019
2019-01-21,3.367645772536796,2.186,251522,847037.0,445534.0,401503.0,11.0,1,0.0,0,9485403,5.1,27.8,1259.5647360025,1.2142139164239207,12.435285739845309,13.64949965626923,13.007028841723859,12.902970284321112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2019
2019-01-28,5.528293988245723,2.139,243656,1347002.0,668192.0,678810.0,12.0,1,0.0,0,9485403,5.1,27.8,1259.5647360025,1.709879266716564,12.403512673455829,14.113391940172393,13.412330836369788,13.428096544113483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2019
2019-02-04,6.047310865458117,2.233,252479,1526819.0,808055.0,718764.0,13.0,1,0.0,0,9485403,4.7,27.8,1259.5647360025,1.7996136881817444,12.439083355922044,14.238697044103787,13.602385404493553,13.485288349164868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2019
2019-02-11,5.6932251505735225,2.293,260670,1484053.0,779386.0,704667.0,14.0,1,0.0,0,9485403,4.7,27.8,1259.5647360025,1.739276897856076,12.47101051850136,14.210287416357437,13.566261709190135,13.465480629780995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2019
2019-02-18,4.256344464111062,2.361,252543,1074910.0,555501.0,519409.0,15.0,1,0.0,0,9485403,4.7,27.8,1259.5647360025,1.4484106848805134,12.439336810228362,13.887747495108876,13.22762568824022,13.160446905746454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2019
2019-02-25,5.079412157930661,2.502,284226,1443701.0,762857.0,680844.0,16.0,1,0.0,0,9485403,4.7,27.8,1259.5647360025,1.6251955379518852,12.557524975330463,14.182720513282348,13.54482587461513,13.43108848400012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2019
2019-03-04,4.148910569712346,2.468,321636,1334439.0,699086.0,635353.0,17.0,1,0.0,0,9485403,4.4,27.8,1259.5647360025,1.422845786457627,12.681175750320609,14.104021536778236,13.45752904655217,13.361936028928412,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,2019
2019-03-11,5.412466722418408,2.556,273833,1482112.0,784354.0,697758.0,18.0,1,0.0,0,9485403,4.4,27.8,1259.5647360025,1.6887049450267344,12.520273710505156,14.20897865553189,13.572615728035519,13.45562761675742,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,2019
2019-03-18,5.537261788137003,2.689,270505,1497857.0,786322.0,711535.0,19.0,1,0.0,0,9485403,4.4,27.8,1259.5647360025,1.7115001165022994,12.508045861386195,14.219545977888496,13.57512165673102,13.475179887150373,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,2019
2019-03-25,5.579248761738098,2.769,256004,1428310.0,761448.0,666862.0,20.0,1,0.0,0,9485403,4.4,27.8,1259.5647360025,1.7190541368168328,12.45294834833963,14.172002485156463,13.542977162708654,13.410338406939992,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,2019
2019-04-01,5.765827569476571,2.891,265881,1533024.0,825150.0,707874.0,21.0,2,0.0,0,9485403,3.9,27.8,1248.0072286080801,1.7519486940650273,12.490804119243677,14.242752813308703,13.623320466971714,13.470021390736315,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,2,2019
2019-04-08,5.847714475298688,2.983,269763,1577497.0,823032.0,754465.0,22.0,2,0.0,0,9485403,3.9,27.8,1248.0072286080801,1.766050896922201,12.505299074730232,14.271349971652432,13.620750361041834,13.533764167777422,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,2,2019
2019-04-15,5.293268101007377,2.977,259585,1374053.0,694149.0,679904.0,23.0,2,0.0,0,9485403,3.9,27.8,1248.0072286080801,1.6664358435876738,12.466839480940825,14.1332753245285,13.450441913851092,13.429706890715366,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,2,2019
2019-04-22,5.859489871263925,3.071,249192,1460138.0,767623.0,692515.0,24.0,2,0.0,0,9485403,3.9,27.8,1248.0072286080801,1.7680625471142792,12.4259789626514,14.194041509765679,13.551054006189453,13.44808517745886,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,2,2019
2019-04-29,5.036486316733962,3.113,278625,1403291.0,729815.0,673476.0,25.0,2,0.0,0,9485403,3.9,27.8,1248.0072286080801,1.6167086795764896,12.53762207068817,14.15433075026466,13.500546356349584,13.420207639453748,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,2,2019
2019-05-06,5.583254461006618,3.154,273649,1527852.0,803622.0,724230.0,26.0,2,0.0,0,9485403,3.5,27.8,1248.0072286080801,1.719771843116313,12.519601542262446,14.239373385378759,13.596884288352559,13.492864300476398,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5,2,2019
2019-05-13,5.804044935054804,3.224,256370,1487983.0,783657.0,704326.0,27.0,2,0.0,0,9485403,3.5,27.8,1248.0072286080801,1.7585550770758454,12.454376992502883,14.212932069578729,13.571726703601497,13.464996596139015,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5,2,2019
2019-05-20,5.327317403529424,3.146,282029,1502458.0,781061.0,721397.0,28.0,2,0.0,0,9485403,3.5,27.8,1248.0072286080801,1.6728478100774802,12.549765181512333,14.222612991589815,13.568408530765385,13.488944888862392,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5,2,2019
2019-05-27,2.440803025179082,3.142,227689,555744.0,298987.0,256757.0,29.0,2,0.0,0,9485403,3.5,27.8,1248.0072286080801,0.8923270938406799,12.335735941706162,13.22806303554684,12.608155373166747,12.455885391294517,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5,2,2019
2019-06-03,5.856424280530578,3.148,264014,1546178.0,814607.0,731571.0,30.0,2,0.0,0,9485403,4.1,27.8,1248.0072286080801,1.7675392263108676,12.483757411025426,14.251296637336294,13.610461067334093,13.50294955556612,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6,3,2019
2019-06-10,5.6970136205545865,2.969,264233,1505339.0,787528.0,717811.0,31.0,2,0.0,0,9485403,4.1,27.8,1248.0072286080801,1.7399421113247118,12.484586568645051,14.224528679969763,13.576654204605397,13.483961582181177,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6,3,2019
2019-06-17,5.4104103990032515,2.844,263256,1424323.0,739714.0,684609.0,32.0,2,0.0,0,9485403,4.1,27.8,1248.0072286080801,1.688324949316383,12.48088222175928,14.169207171075662,13.514018903988715,13.43660315135465,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6,3,2019
2019-06-24,5.47226809130646,2.931,257375,1408425.0,713826.0,694599.0,33.0,2,0.0,0,9485403,4.1,27.8,1248.0072286080801,1.6996931724144262,12.45828944433009,14.157982616744517,13.478394514143673,13.451089979613561,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6,3,2019
2019-07-01,6.105704981815106,3.038,236460,1443755.0,751938.0,691817.0,34.0,3,0.0,0,9485403,4.1,27.8,1259.72788309452,1.8092235770326026,12.373534339417104,14.182757916449708,13.530409152724541,13.447076748759459,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7,3,2019
2019-07-08,6.118640165758576,3.076,234558,1435176.0,738529.0,696647.0,35.0,3,0.0,0,9485403,4.1,27.8,1259.72788309452,1.8113398766977502,12.365458171041071,14.17679804773882,13.512415648970658,13.454034105209347,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7,3,2019
2019-07-15,5.5711800444289805,3.273,261541,1457092.0,733408.0,723684.0,36.0,3,0.0,0,9485403,4.1,27.8,1259.72788309452,1.71760688866921,12.474346337960105,14.191953226629314,13.505457442659134,13.492110112001281,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7,3,2019
