ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60626,27,07/04/2021,07/10/2021,4,4454,8,8956.4,1204,142358,2421,286261.8,0.0,0.0,0,168,0.0,337.8,49730,60626-2021-27,POINT (-87.669834 42.009469)
60630,4,01/23/2022,01/29/2022,211,11514,368,20078.8,4472,166856,7798,290973.8,0.1,0.1,2,168,3.5,293.0,57344,60630-2022-4,POINT (-87.759611 41.971261)
60630,5,01/30/2022,02/05/2022,117,11631,204,20282.9,3661,170517,6384,297358,0.0,0.1,6,174,10.5,303.4,57344,60630-2022-5,POINT (-87.759611 41.971261)
60630,6,02/06/2022,02/12/2022,70,11701,122,20404.9,3429,173946,5980,303337.8,0.0,0.1,0,174,0.0,303.4,57344,60630-2022-6,POINT (-87.759611 41.971261)
60630,8,02/20/2022,02/26/2022,35,11778,61,20539.2,2945,180121,5136,314106.1,0.0,0.1,2,179,3.5,312.2,57344,60630-2022-8,POINT (-87.759611 41.971261)
60620,24,06/07/2020,06/13/2020,32,1134,47,1665.3,792,7715,1163,11329.6,0.0,0.1,1,67,1.5,98.4,68096,60620-2020-24,POINT (-87.651656 41.740873)
60620,25,06/14/2020,06/20/2020,29,1163,43,1707.9,755,8470,1109,12438.3,0.0,0.1,2,69,2.9,101.3,68096,60620-2020-25,POINT (-87.651656 41.740873)
60620,22,05/24/2020,05/30/2020,53,1065,78,1564,891,6314,1308,9272.2,0.1,0.2,1,65,1.5,95.5,68096,60620-2020-22,POINT (-87.651656 41.740873)
60626,36,09/05/2021,09/11/2021,72,4812,145,9676.3,3003,161630,6039,325015.1,0.0,0.0,1,171,2.0,343.9,49730,60626-2021-36,POINT (-87.669834 42.009469)
60626,39,09/26/2021,10/02/2021,41,4937,82,9927.6,3123,170461,6280,342773,0.0,0.0,1,172,2.0,345.9,49730,60626-2021-39,POINT (-87.669834 42.009469)
60626,37,09/12/2021,09/18/2021,47,4859,94,9770.8,2907,164537,5846,330860.6,0.0,0.0,0,171,0.0,343.9,49730,60626-2021-37,POINT (-87.669834 42.009469)
60626,38,09/19/2021,09/25/2021,37,4896,74,9845.2,2801,167338,5632,336493.1,0.0,0.0,0,171,0.0,343.9,49730,60626-2021-38,POINT (-87.669834 42.009469)
60626,4,01/24/2021,01/30/2021,55,3703,111,7446.2,3946,77588,7935,156018.5,0.0,0.0,1,154,2.0,309.7,49730,60626-2021-4,POINT (-87.669834 42.009469)
60630,9,02/27/2022,03/05/2022,17,11795,30,20568.8,2870,182991,5005,319111,0.0,0.1,0,179,0.0,312.2,57344,60630-2022-9,POINT (-87.759611 41.971261)
60631,45,11/01/2020,11/07/2020,180,1152,610,3901.2,1313,18986,4446,64296.1,0.1,0.1,2,47,6.8,159.2,29529,60631-2020-45,POINT (-87.813371 41.995019)
60620,16,04/18/2021,04/24/2021,126,5277,185,7749.4,2762,78010,4056,114558.9,0.0,0.1,1,144,1.5,211.5,68096,60620-2021-16,POINT (-87.651656 41.740873)
60620,24,06/13/2021,06/19/2021,10,5748,15,8441,1118,92455,1642,135771.6,0.0,0.1,1,165,1.5,242.3,68096,60620-2021-24,POINT (-87.651656 41.740873)
60620,25,06/20/2021,06/26/2021,3,5751,4,8445.4,1339,93794,1966,137737.9,0.0,0.1,1,166,1.5,243.8,68096,60620-2021-25,POINT (-87.651656 41.740873)
60620,26,06/27/2021,07/03/2021,11,5762,16,8461.6,1447,95241,2125,139862.8,0.0,0.1,0,166,0.0,243.8,68096,60620-2021-26,POINT (-87.651656 41.740873)
60620,35,08/29/2021,09/04/2021,101,6290,148,9237,2386,114319,3504,167879.2,0.0,0.1,3,178,4.4,261.4,68096,60620-2021-35,POINT (-87.651656 41.740873)
60620,27,07/04/2021,07/10/2021,9,5771,13,8474.8,1469,96710,2157,142020.1,0.0,0.1,0,166,0.0,243.8,68096,60620-2021-27,POINT (-87.651656 41.740873)
60626,41,10/10/2021,10/16/2021,20,4992,40,10038.2,3641,177736,7322,357402,0.0,0.0,0,173,0.0,347.9,49730,60626-2021-41,POINT (-87.669834 42.009469)
60626,43,10/24/2021,10/30/2021,31,5060,62,10174.9,3331,184805,6698,371616.7,0.0,0.0,1,174,2.0,349.9,49730,60626-2021-43,POINT (-87.669834 42.009469)
60626,44,10/31/2021,11/06/2021,41,5101,82,10257.4,3674,188479,7388,379004.6,0.0,0.0,0,174,0.0,349.9,49730,60626-2021-44,POINT (-87.669834 42.009469)
60626,46,11/14/2021,11/20/2021,55,5206,111,10468.5,3345,195117,6726,392352.7,0.0,0.0,1,176,2.0,353.9,49730,60626-2021-46,POINT (-87.669834 42.009469)
60626,48,11/28/2021,12/04/2021,98,5347,197,10752.1,4397,202522,8842,407243.1,0.0,0.0,0,177,0.0,355.9,49730,60626-2021-48,POINT (-87.669834 42.009469)
60626,49,12/05/2021,12/11/2021,92,5439,185,10937.1,4301,206823,8649,415891.8,0.0,0.0,1,178,2.0,357.9,49730,60626-2021-49,POINT (-87.669834 42.009469)
60626,40,10/03/2021,10/09/2021,35,4972,70,9998,3634,174095,7308,350080.4,0.0,0.0,1,173,2.0,347.9,49730,60626-2021-40,POINT (-87.669834 42.009469)
60631,46,11/08/2020,11/14/2020,229,1381,776,4676.8,1782,20768,6035,70330.9,0.1,0.1,2,49,6.8,165.9,29529,60631-2020-46,POINT (-87.813371 41.995019)
60631,47,11/15/2020,11/21/2020,199,1580,674,5350.7,1541,22309,5219,75549.5,0.1,0.1,2,51,6.8,172.7,29529,60631-2020-47,POINT (-87.813371 41.995019)
60628,23,05/31/2020,06/06/2020,21,1073,32,1608.1,638,6354,956,9522.8,0.0,0.2,4,94,6.0,140.9,66724,60628-2020-23,POINT (-87.621537 41.694192)
